correctTag,targetWord,orderingId,sessionId,draggedTag,serie
Verbo Auxiliar,iria,10,YQ2msWqUKx,Verbo Auxiliar,6-ensino-fundamental
Verbo de Ligação,estivesse,38,Kw85wiVxp6,Verbo de Ligação,6-ensino-fundamental
Pronome,que,11,YQ2msWqUKx,Preposição+Artigo,6-ensino-fundamental
Substantivo,sala,10,W_auyYfE2n,Substantivo,6-ensino-fundamental
Pronome,que,12,YQ2msWqUKx,Pronome,6-ensino-fundamental
Substantivo,trabalho,39,Kw85wiVxp6,Verbo,6-ensino-fundamental
Artigo,minha,11,W_auyYfE2n,Artigo,6-ensino-fundamental
Verbo,esquecido,7,nAF45HKVn3,Pontuação,6-ensino-fundamental
Substantivo,trabalho,40,Kw85wiVxp6,Preposição+Artigo,6-ensino-fundamental
Substantivo,trabalho,41,Kw85wiVxp6,Pontuação,6-ensino-fundamental
Substantivo,trabalho,42,Kw85wiVxp6,Substantivo,6-ensino-fundamental
Artigo,a,12,W_auyYfE2n,Artigo,6-ensino-fundamental
Substantivo,semana,13,YQ2msWqUKx,Substantivo,6-ensino-fundamental
Preposição,até,13,W_auyYfE2n,Substantivo,6-ensino-fundamental
Verbo Auxiliar,foram,7,7mqg6cDV_J,Advérbio,6-ensino-fundamental
Preposição+Artigo,ao,8,nAF45HKVn3,Verbo,6-ensino-fundamental
Pontuação,.,14,YQ2msWqUKx,Pontuação,6-ensino-fundamental
Pontuação,",",43,Kw85wiVxp6,Preposição+Artigo,6-ensino-fundamental
Preposição,até,14,W_auyYfE2n,Preposição,6-ensino-fundamental
Advérbio,cuidadosamente,8,7mqg6cDV_J,Verbo Auxiliar,6-ensino-fundamental
Substantivo,relatórios,15,W_auyYfE2n,Substantivo,6-ensino-fundamental
Pontuação,",",44,Kw85wiVxp6,Pontuação,6-ensino-fundamental
Preposição+Artigo,no,15,YQ2msWqUKx,Pronome,6-ensino-fundamental
Advérbio,cuidadosamente,9,7mqg6cDV_J,Substantivo,6-ensino-fundamental
Preposição+Artigo,no,16,YQ2msWqUKx,Preposição,6-ensino-fundamental
Verbo,iria,45,Kw85wiVxp6,Verbo,6-ensino-fundamental
Preposição+Artigo,ao,46,Kw85wiVxp6,Preposição+Artigo,6-ensino-fundamental
Preposição+Artigo,no,17,YQ2msWqUKx,Pronome,6-ensino-fundamental
Preposição+Artigo,no,18,YQ2msWqUKx,Substantivo,6-ensino-fundamental
Verbo Auxiliar,foram,10,7mqg6cDV_J,Verbo Auxiliar,6-ensino-fundamental
Preposição+Artigo,no,19,YQ2msWqUKx,Preposição+Artigo,6-ensino-fundamental
Substantivo,fim,20,YQ2msWqUKx,Preposição+Artigo,6-ensino-fundamental
Substantivo,fim,21,YQ2msWqUKx,Verbo,6-ensino-fundamental
Advérbio,enfim,9,nAF45HKVn3,Substantivo,6-ensino-fundamental
Substantivo,dados,11,7mqg6cDV_J,Verbo,6-ensino-fundamental
Pontuação,.,0,ES0HKWNgci,Pontuação,6-ensino-fundamental
Substantivo,fim,22,YQ2msWqUKx,Preposição,6-ensino-fundamental
Substantivo,dados,12,7mqg6cDV_J,Substantivo,6-ensino-fundamental
Substantivo,fim,23,YQ2msWqUKx,Pronome,6-ensino-fundamental
Substantivo,fim,24,YQ2msWqUKx,Preposição+Artigo,6-ensino-fundamental
Artigo,Os,13,7mqg6cDV_J,Advérbio,6-ensino-fundamental
Substantivo,fim,25,YQ2msWqUKx,Substantivo,6-ensino-fundamental
Artigo,Os,14,7mqg6cDV_J,Preposição+Artigo,6-ensino-fundamental
Pontuação,.,0,BCabI356eF,Pontuação,6-ensino-fundamental
Verbo Auxiliar,tinham,10,nAF45HKVn3,Verbo,6-ensino-fundamental
Artigo,Os,15,7mqg6cDV_J,Substantivo,6-ensino-fundamental
Artigo,Os,16,7mqg6cDV_J,Artigo,6-ensino-fundamental
Pontuação,",",0,3DzMfiKm3b,Pontuação,6-ensino-fundamental
Verbo Auxiliar,tinham,11,nAF45HKVn3,Conjunção Subordinativa,6-ensino-fundamental
Verbo,insistisse,1,BCabI356eF,Artigo,6-ensino-fundamental
Verbo,insistisse,2,BCabI356eF,Preposição,6-ensino-fundamental
Substantivo,ônibus,1,ES0HKWNgci,Verbo,6-ensino-fundamental
Verbo Auxiliar,tinham,12,nAF45HKVn3,Pontuação,6-ensino-fundamental
Pontuação,.,1,3DzMfiKm3b,Pontuação,6-ensino-fundamental
Verbo,insistisse,3,BCabI356eF,Artigo,6-ensino-fundamental
Pontuação,.,0,crHYjw__Pw,Pontuação,6-ensino-fundamental
Advérbio,amanhã,2,3DzMfiKm3b,Conjunção Subordinativa,6-ensino-fundamental
Verbo,pegar,2,ES0HKWNgci,Verbo,6-ensino-fundamental
Preposição+Artigo,na,26,YQ2msWqUKx,Preposição+Artigo,6-ensino-fundamental
Substantivo,pesquisadores,17,7mqg6cDV_J,Preposição+Artigo,6-ensino-fundamental
Advérbio,amanhã,3,3DzMfiKm3b,Verbo,6-ensino-fundamental
Pontuação,",",1,crHYjw__Pw,Pontuação,6-ensino-fundamental
Artigo,o,3,ES0HKWNgci,Verbo,6-ensino-fundamental
Advérbio,amanhã,4,3DzMfiKm3b,Preposição,6-ensino-fundamental
Substantivo,pesquisadores,18,7mqg6cDV_J,Preposição+Artigo,6-ensino-fundamental
Pronome,que,27,YQ2msWqUKx,Pronome,6-ensino-fundamental
Advérbio,amanhã,5,3DzMfiKm3b,Substantivo,6-ensino-fundamental
Artigo,o,4,ES0HKWNgci,Artigo,6-ensino-fundamental
Pontuação,",",4,BCabI356eF,Pontuação,6-ensino-fundamental
Advérbio,amanhã,6,3DzMfiKm3b,Pronome,6-ensino-fundamental
Substantivo,pesquisadores,19,7mqg6cDV_J,Verbo,6-ensino-fundamental
Preposição+Artigo,ao,28,YQ2msWqUKx,Preposição,6-ensino-fundamental
Verbo,chovendo,2,crHYjw__Pw,Verbo,6-ensino-fundamental
Conjunção Subordinativa,para,5,ES0HKWNgci,Pronome,6-ensino-fundamental
Advérbio,amanhã,7,3DzMfiKm3b,Artigo,6-ensino-fundamental
Advérbio,amanhã,8,3DzMfiKm3b,Advérbio,6-ensino-fundamental
Preposição+Artigo,ao,29,YQ2msWqUKx,Pronome,6-ensino-fundamental
Substantivo,pesquisadores,20,7mqg6cDV_J,Advérbio,6-ensino-fundamental
Conjunção Subordinativa,para,6,ES0HKWNgci,Conjunção Subordinativa,6-ensino-fundamental
Verbo Auxiliar,esteja,3,crHYjw__Pw,Verbo,6-ensino-fundamental
Preposição,Por,5,BCabI356eF,Pronome,6-ensino-fundamental
Substantivo,pesquisadores,21,7mqg6cDV_J,Advérbio,6-ensino-fundamental
Preposição+Artigo,ao,30,YQ2msWqUKx,Preposição+Artigo,6-ensino-fundamental
Substantivo,relatório,9,3DzMfiKm3b,Advérbio,6-ensino-fundamental
Verbo,correram,7,ES0HKWNgci,Verbo,6-ensino-fundamental
Pronome,Eles,8,ES0HKWNgci,Pronome,6-ensino-fundamental
Substantivo,relatório,10,3DzMfiKm3b,Conjunção Subordinativa,6-ensino-fundamental
Verbo,disse,31,YQ2msWqUKx,Verbo,6-ensino-fundamental
Substantivo,pesquisadores,22,7mqg6cDV_J,Substantivo,6-ensino-fundamental
Pontuação,",",13,nAF45HKVn3,Pontuação,6-ensino-fundamental
