correctTag,targetWord,eventType,orderingId,sessionId,draggedTag
Advérbio,não,interaction,5,4zU1hox2-7,Advérbio
Artigo,o,interaction,16,pePYdL3mqu,Artigo
Verbo,é,interaction,30,RO5iOcLJpf,Pronome
Verbo de Ligação,Seja,interaction,0,1RxmjPo-Nw,Adjetivo
Verbo,é,interaction,31,RO5iOcLJpf,Verbo
Verbo Auxiliar,vai,interaction,6,4zU1hox2-7,Verbo
Pontuação,.,interaction,0,4IYZpFYQla,Adjetivo
Artigo,O,interaction,17,pePYdL3mqu,Artigo
Pontuação,.,interaction,1,1RxmjPo-Nw,Pontuação
Verbo Auxiliar,vai,interaction,7,4zU1hox2-7,Preposição+Artigo
Conjunção Coordenativa,mas,interaction,32,RO5iOcLJpf,Advérbio
Pontuação,",",interaction,2,1RxmjPo-Nw,Pontuação
Verbo Auxiliar,vai,interaction,8,4zU1hox2-7,Verbo
Verbo Auxiliar,vai,interaction,9,4zU1hox2-7,Substantivo
Advérbio,tarde,interaction,1,k4ynYAr1nq,Advérbio
Conjunção Coordenativa,mas,interaction,33,RO5iOcLJpf,Advérbio
Pontuação,.,interaction,1,4IYZpFYQla,Pontuação
Pronome,que,interaction,18,pePYdL3mqu,Pronome
Verbo Auxiliar,vai,interaction,10,4zU1hox2-7,Pronome
Verbo,correu,interaction,0,q4JF64szJa,Verbo
Artigo,O,interaction,2,4IYZpFYQla,Substantivo
Verbo Auxiliar,vai,interaction,11,4zU1hox2-7,Pronome
Conjunção Coordenativa,mas,interaction,34,RO5iOcLJpf,Verbo de Ligação
Verbo Auxiliar,vai,interaction,12,4zU1hox2-7,Pontuação
Conjunção Coordenativa,mas,interaction,35,RO5iOcLJpf,Adjetivo
Preposição,durante,interaction,19,pePYdL3mqu,Verbo
Artigo,O,interaction,3,4IYZpFYQla,Artigo
Verbo Auxiliar,vai,interaction,13,4zU1hox2-7,Verbo
Conjunção Subordinativa,pois,interaction,3,1RxmjPo-Nw,Conjunção Subordinativa
Conjunção Coordenativa,mas,interaction,36,RO5iOcLJpf,Conjunção Coordenativa
Preposição,durante,interaction,20,pePYdL3mqu,Substantivo
Preposição,sem,interaction,4,4IYZpFYQla,Preposição
Verbo Auxiliar,vai,interaction,14,4zU1hox2-7,Verbo Auxiliar
Verbo,parou,interaction,5,4IYZpFYQla,Substantivo
Pronome,eu,interaction,37,RO5iOcLJpf,Pronome
Pontuação,.,interaction,1,q4JF64szJa,Pontuação
Verbo,parou,interaction,6,4IYZpFYQla,Verbo
Preposição,durante,interaction,21,pePYdL3mqu,Preposição
Verbo de Ligação,estou,interaction,38,RO5iOcLJpf,Adjetivo
Substantivo,relógio,interaction,7,4IYZpFYQla,Substantivo
Verbo,gostar,interaction,15,4zU1hox2-7,Conjunção Subordinativa
Verbo de Ligação,estou,interaction,39,RO5iOcLJpf,Advérbio
Adjetivo,aparente,interaction,8,4IYZpFYQla,Substantivo
Verbo de Ligação,estou,interaction,40,RO5iOcLJpf,Advérbio
Substantivo,curso,interaction,22,pePYdL3mqu,Adjetivo
Verbo,gostar,interaction,16,4zU1hox2-7,Preposição+Artigo
Adjetivo,aparente,interaction,9,4IYZpFYQla,Adjetivo
Verbo de Ligação,estou,interaction,41,RO5iOcLJpf,Verbo de Ligação
Verbo de Ligação,Seja,interaction,4,1RxmjPo-Nw,Artigo
Verbo,gostar,interaction,17,4zU1hox2-7,Verbo
Substantivo,motivo,interaction,10,4IYZpFYQla,Substantivo
Preposição,até,interaction,2,k4ynYAr1nq,Conjunção Subordinativa
Verbo,recebeu,interaction,23,pePYdL3mqu,Substantivo
Advérbio,muito,interaction,42,RO5iOcLJpf,Adjetivo
Advérbio,muito,interaction,43,RO5iOcLJpf,Advérbio
Verbo,recebeu,interaction,24,pePYdL3mqu,Artigo
Preposição+Artigo,da,interaction,18,4zU1hox2-7,Conjunção Subordinativa
Verbo,recebeu,interaction,25,pePYdL3mqu,Verbo
Preposição,até,interaction,3,k4ynYAr1nq,Nome Próprio
Adjetivo,cansado,interaction,44,RO5iOcLJpf,Advérbio
Adjetivo,cansado,interaction,45,RO5iOcLJpf,Adjetivo
Pronome,todos,interaction,5,1RxmjPo-Nw,Preposição
Preposição+Artigo,da,interaction,19,4zU1hox2-7,Substantivo
Pontuação,.,interaction,0,zVOBppAFOJ,Pontuação
Preposição,até,interaction,4,k4ynYAr1nq,Pontuação
Advérbio,hoje,interaction,46,RO5iOcLJpf,Advérbio
Substantivo,curso,interaction,26,pePYdL3mqu,Adjetivo
Preposição,até,interaction,5,k4ynYAr1nq,Verbo
Substantivo,curso,interaction,27,pePYdL3mqu,Substantivo
Preposição,com,interaction,6,1RxmjPo-Nw,Verbo de Ligação
Preposição+Artigo,da,interaction,20,4zU1hox2-7,Verbo
Preposição,até,interaction,6,k4ynYAr1nq,Adjetivo
Preposição+Artigo,da,interaction,21,4zU1hox2-7,Pronome
Adjetivo,internacional,interaction,28,pePYdL3mqu,Adjetivo
Preposição+Artigo,da,interaction,22,4zU1hox2-7,Pronome
Preposição,até,interaction,7,k4ynYAr1nq,Preposição
Preposição+Artigo,da,interaction,23,4zU1hox2-7,Pontuação
Artigo,os,interaction,7,1RxmjPo-Nw,Pronome
Preposição+Artigo,da,interaction,24,4zU1hox2-7,Verbo
Preposição+Artigo,da,interaction,25,4zU1hox2-7,Conjunção Subordinativa
